interval_begin_s,interval_end_s,interval_begin_hhmm,edge_id,speed_mean_ms,speed_min_ms,speed_max_ms,speed_std_ms,density_mean_vkl,density_min_vkl,density_max_vkl,density_std_vkl,n_runs
36000.0,36900.0,10:00,-2535383#1,14.2900,14.2900,14.2900,0.0000,0.1600,0.1600,0.1600,0.0000,2
36000.0,36900.0,10:00,-2535383#2,13.8900,13.8900,13.8900,0.0000,0.1600,0.1600,0.1600,0.0000,2
36000.0,36900.0,10:00,-2535383#4,13.8900,13.8900,13.8900,0.0000,0.2400,0.2400,0.2400,0.0000,2
36000.0,36900.0,10:00,-2535383#5,13.8900,13.8900,13.8900,0.0000,0.3200,0.3200,0.3200,0.0000,2
36000.0,36900.0,10:00,-2541944#2,8.0550,7.8700,8.2400,0.2616,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,-2541944#4,8.0550,7.8700,8.2400,0.2616,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,-2541944#5,8.0550,7.8700,8.2400,0.2616,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,-2541944#6,8.0550,7.8700,8.2400,0.2616,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,-2541944#7,8.0550,7.8700,8.2400,0.2616,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,-2541944#8,8.0550,7.8700,8.2400,0.2616,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,-2543332#0,7.9700,7.4700,8.4700,0.7071,0.2800,0.2600,0.3000,0.0283,2
36000.0,36900.0,10:00,-2543332#1,7.9700,7.4700,8.4700,0.7071,0.2800,0.2600,0.3000,0.0283,2
36000.0,36900.0,10:00,-2543332#4,7.9700,7.4700,8.4700,0.7071,0.2800,0.2600,0.3000,0.0283,2
36000.0,36900.0,10:00,-2543333,12.4750,12.0900,12.8600,0.5445,0.5350,0.5200,0.5500,0.0212,2
36000.0,36900.0,10:00,-30278393#0,9.8300,8.9800,10.6800,1.2021,0.1100,0.1000,0.1200,0.0141,2
36000.0,36900.0,10:00,-30278393#1,9.8300,8.9800,10.6800,1.2021,0.1100,0.1000,0.1200,0.0141,2
36000.0,36900.0,10:00,-354671650#1,13.7950,13.7000,13.8900,0.1344,0.1600,0.1600,0.1600,0.0000,2
36000.0,36900.0,10:00,-354671651#0,9.1300,9.0600,9.2000,0.0990,0.1200,0.1200,0.1200,0.0000,2
36000.0,36900.0,10:00,-354671651#1,9.1300,9.0600,9.2000,0.0990,0.1200,0.1200,0.1200,0.0000,2
36000.0,36900.0,10:00,-361257028#0,8.2600,7.9900,8.5300,0.3818,0.2700,0.2600,0.2800,0.0141,2
36000.0,36900.0,10:00,-37899394#3,16.6700,16.6700,16.6700,0.0000,0.0600,0.0600,0.0600,0.0000,1
36000.0,36900.0,10:00,-37899394#4,16.6700,16.6700,16.6700,0.0000,0.0700,0.0700,0.0700,0.0000,1
36000.0,36900.0,10:00,-380310114#0,8.2100,7.8800,8.5400,0.4667,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,-380310114#3,8.2100,7.8800,8.5400,0.4667,0.1350,0.1300,0.1400,0.0071,2
36000.0,36900.0,10:00,-383327664#1,8.3500,8.3100,8.3900,0.0566,0.5300,0.5300,0.5300,0.0000,2
36000.0,36900.0,10:00,-383327664#3,8.3500,8.3100,8.3900,0.0566,0.5300,0.5300,0.5300,0.0000,2
36000.0,36900.0,10:00,-384828057#1,8.3500,8.3100,8.3900,0.0566,0.5300,0.5300,0.5300,0.0000,2
36000.0,36900.0,10:00,-39646561,13.8900,13.8900,13.8900,0.0000,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,-400886685#1,8.9900,8.7300,9.2500,0.3677,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,-400886689#0,8.3900,8.0600,8.7200,0.4667,0.7950,0.7600,0.8300,0.0495,2
36000.0,36900.0,10:00,-400886691#0,8.2850,7.9400,8.6300,0.4879,0.6700,0.6400,0.7000,0.0424,2
36000.0,36900.0,10:00,-401595498,8.8900,8.7000,9.0800,0.2687,0.1250,0.1200,0.1300,0.0071,2
36000.0,36900.0,10:00,-427821329#1,8.0250,7.7300,8.3200,0.4172,0.4150,0.4000,0.4300,0.0212,2
36000.0,36900.0,10:00,-427821329#2,8.0250,7.7300,8.3200,0.4172,0.4150,0.4000,0.4300,0.0212,2
36000.0,36900.0,10:00,-429206409,8.3500,8.3100,8.3900,0.0566,0.5300,0.5300,0.5300,0.0000,2
