camera,date,time,timestamp,car,motorcycle,bus,truck,total,filepath
CM_A69A1,2025-04-01,04:28:51,2025-04-01 04:28:51,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-042851.jpg
CM_A69A1,2025-04-01,04:34:47,2025-04-01 04:34:47,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-043447.jpg
CM_A69A1,2025-04-01,04:44:09,2025-04-01 04:44:09,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-044409.jpg
CM_A69A1,2025-04-01,04:49:43,2025-04-01 04:49:43,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-044943.jpg
CM_A69A1,2025-04-01,04:59:46,2025-04-01 04:59:46,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-045946.jpg
CM_A69A1,2025-04-01,05:08:50,2025-04-01 05:08:50,2,0,0,0,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-050850.jpg
CM_A69A1,2025-04-01,05:14:17,2025-04-01 05:14:17,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-051417.jpg
CM_A69A1,2025-04-01,05:19:42,2025-04-01 05:19:42,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-051942.jpg
CM_A69A1,2025-04-01,05:29:36,2025-04-01 05:29:36,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-052936.jpg
CM_A69A1,2025-04-01,05:39:58,2025-04-01 05:39:58,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-053958.jpg
CM_A69A1,2025-04-01,05:48:58,2025-04-01 05:48:58,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-054858.jpg
CM_A69A1,2025-04-01,05:54:35,2025-04-01 05:54:35,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-055435.jpg
CM_A69A1,2025-04-01,06:04:32,2025-04-01 06:04:32,3,0,0,0,3,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-060432.jpg
CM_A69A1,2025-04-01,06:14:41,2025-04-01 06:14:41,2,0,0,0,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-061441.jpg
CM_A69A1,2025-04-01,06:24:11,2025-04-01 06:24:11,5,0,0,0,5,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-062411.jpg
CM_A69A1,2025-04-01,06:29:53,2025-04-01 06:29:53,0,0,0,0,0,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-062953.jpg
CM_A69A1,2025-04-01,06:39:58,2025-04-01 06:39:58,2,0,0,0,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-063958.jpg
CM_A69A1,2025-04-01,06:49:39,2025-04-01 06:49:39,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-064939.jpg
CM_A69A1,2025-04-01,06:59:41,2025-04-01 06:59:41,3,0,0,0,3,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-065941.jpg
CM_A69A1,2025-04-01,07:10:07,2025-04-01 07:10:07,2,0,0,0,2,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-071007.jpg
CM_A69A1,2025-04-01,07:20:10,2025-04-01 07:20:10,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-072010.jpg
CM_A69A1,2025-04-01,07:30:07,2025-04-01 07:30:07,2,0,1,0,3,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-073007.jpg
CM_A69A1,2025-04-01,07:39:49,2025-04-01 07:39:49,3,0,0,0,3,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-073949.jpg
CM_A69A1,2025-04-01,07:49:23,2025-04-01 07:49:23,1,0,0,0,1,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-074923.jpg
CM_A69A1,2025-04-01,07:55:21,2025-04-01 07:55:21,4,0,2,0,6,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-075521.jpg
CM_A69A1,2025-04-01,08:04:57,2025-04-01 08:04:57,2,0,0,1,3,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-080457.jpg
CM_A69A1,2025-04-01,08:15:02,2025-04-01 08:15:02,6,0,1,0,7,H:\Desktop\Projects\network-plus\CM_A69A1_202504\CM_A69A1-20250401-081502.jpg
